"","NUMPC","TVCOLOR","INTRR","MONEYPY","TVRR","FUELRR","TOTSQFT","NHSLDMEM"
"1",2,4,1,23,3,"Electricity",5075,4
"2",2,2,1,9,2,"Natural Gas",3136,6
"3",1,1,1,18,2,"Natural Gas",528,1
"4",2,5,1,10,4,"Electricity",2023,1
"5",2,2,1,20,2,"Natural Gas",1912,1
"6",2,1,1,6,4,"Natural Gas",3485,2
"7",2,4,1,24,2,"Natural Gas",2654,4
"8",2,2,1,16,3,"Electricity",2352,6
"9",0,2,NA,10,3,"Electricity",1635,1
"10",1,2,1,13,2,"Natural Gas",2390,1
"11",0,1,NA,10,3,"Natural Gas",731,1
"12",5,2,1,24,3,"Natural Gas",2185,3
"13",4,4,1,15,3,"Electricity",1387,2
"14",0,2,NA,7,5,"Electricity",809,1
"15",0,1,NA,10,3,"Natural Gas",411,1
"16",3,4,1,24,3,"Electricity",4740,2
"17",0,1,NA,1,1,NA,1482,1
"18",2,0,1,17,NA,"Natural Gas",592,2
"19",2,1,1,10,2,"Natural Gas",1107,3
"20",0,3,NA,21,1,"Natural Gas",3863,2
"21",4,4,1,22,3,"Natural Gas",3168,4
"22",1,3,1,19,5,"Natural Gas",1584,2
"23",1,1,1,24,2,"Fuel Oil",3042,1
"24",0,2,NA,5,3,"Natural Gas",3834,1
"25",3,4,1,9,3,"Electricity",4455,2
"26",1,4,1,7,3,"Natural Gas",995,3
"27",0,5,NA,16,3,"Electricity",2781,2
"28",0,2,NA,1,4,"Natural Gas",1090,1
"29",0,1,NA,2,4,"Electricity",400,1
"30",1,2,1,15,5,"Electricity",2410,3
"31",2,5,1,23,3,"Fuel Oil",1638,2
"32",1,3,1,5,2,"Electricity",840,3
"33",0,1,NA,10,2,"Electricity",1800,2
"34",1,2,1,9,1,"Electricity",2013,1
"35",2,2,1,10,3,"Electricity",1998,2
"36",2,2,1,19,2,"Electricity",2191,1
"37",4,4,1,16,4,"Electricity",3822,5
"38",1,3,0,9,3,"Natural Gas",3120,1
"39",3,2,1,9,2,"Electricity",1488,4
"40",1,4,1,14,3,"Electricity",1260,4
"41",2,5,1,4,3,"Natural Gas",1800,3
"42",1,5,1,9,4,"Natural Gas",2119,6
"43",1,4,1,1,2,"Natural Gas",2831,4
"44",1,2,0,5,1,"Natural Gas",527,1
"45",1,2,1,24,2,"Natural Gas",3744,2
"46",2,3,1,7,2,"Natural Gas",1131,4
"47",0,2,NA,1,3,"Natural Gas",834,3
"48",0,1,NA,12,2,"Electricity",1120,2
"49",2,3,1,16,4,"Natural Gas",1820,3
"50",0,1,NA,2,2,"Fuel Oil",1188,1
"51",0,1,NA,7,2,"Natural Gas",846,1
"52",2,1,1,16,2,"Electricity",1564,2
"53",1,1,1,12,2,"Electricity",806,1
"54",4,0,1,24,NA,"Electricity",2403,5
"55",1,2,1,10,2,"Natural Gas",1372,2
"56",4,6,1,22,4,"Natural Gas",3841,5
"57",1,2,1,15,3,"Natural Gas",2800,4
"58",3,3,1,24,2,"Fuel Oil",1748,3
"59",1,1,1,17,3,"Natural Gas",2304,2
"60",2,5,1,23,4,"Electricity",2116,7
"61",1,3,1,10,5,"Electricity",1770,7
"62",0,1,NA,6,2,"Electricity",1323,4
"63",1,2,1,5,2,"Electricity",1209,1
"64",1,2,1,13,2,"Natural Gas",1518,2
"65",0,5,NA,11,5,"Natural Gas",1155,9
"66",1,4,1,12,4,"Electricity",2040,1
"67",2,1,1,24,2,"Natural Gas",693,1
"68",1,2,1,8,3,"Natural Gas",1069,2
"69",2,2,1,21,4,"Natural Gas",947,3
"70",0,4,NA,21,4,"Natural Gas",1200,5
"71",1,1,1,3,4,"Electricity",2214,1
"72",0,1,NA,4,2,"Fuel Oil",517,2
"73",0,1,NA,13,3,"Natural Gas",2092,2
"74",2,2,1,10,3,"Natural Gas",452,1
"75",2,6,1,1,3,"Natural Gas",4620,4
"76",3,2,1,16,2,"Electricity",3604,2
"77",2,1,1,11,2,"Electricity",840,1
"78",0,2,NA,5,3,"Natural Gas",694,2
"79",1,2,1,10,4,"Natural Gas",2626,2
"80",0,2,NA,4,2,"Natural Gas",375,1
"81",1,1,1,8,3,"Natural Gas",680,2
"82",3,0,1,24,NA,"Electricity",1125,3
"83",0,1,NA,2,3,"Natural Gas",100,1
"84",1,2,1,1,3,"Electricity",1271,1
"85",0,2,NA,3,3,"Electricity",800,2
"86",2,2,1,23,3,"Natural Gas",1546,3
"87",2,3,1,18,3,"Solar",3032,2
"88",4,6,1,24,3,"Natural Gas",4992,3
"89",2,4,1,12,3,"Electricity",3483,3
"90",2,1,1,13,2,"Natural Gas",3074,2
"91",0,2,NA,1,4,"Natural Gas",999,2
"92",0,1,NA,7,4,NA,784,1
"93",3,4,1,22,4,"Natural Gas",1864,4
"94",0,2,NA,5,3,NA,596,2
"95",0,2,NA,8,4,"Electricity",1972,2
"96",0,2,NA,8,3,"Natural Gas",2880,2
"97",1,4,1,19,2,"Natural Gas",4430,2
"98",3,2,1,24,2,"Natural Gas",1952,4
"99",0,1,NA,7,3,"Natural Gas",540,1
"100",2,1,1,24,1,"Natural Gas",1692,2
"101",3,7,1,24,2,"Electricity",2262,2
"102",1,2,1,15,3,"Electricity",2324,2
"103",2,5,1,24,2,"Electricity",4051,2
"104",0,5,NA,23,3,"Natural Gas",2023,2
"105",2,3,1,12,2,"Electricity",1431,2
"106",0,3,NA,11,2,"Natural Gas",800,3
"107",3,4,1,23,1,"Natural Gas",2646,2
"108",1,3,1,13,5,"Electricity",2520,2
"109",3,3,1,13,3,"Electricity",960,3
"110",0,1,NA,5,5,"Natural Gas",727,2
"111",0,1,NA,5,2,"Natural Gas",330,1
"112",1,1,1,18,2,"Fuel Oil",313,1
"113",0,4,NA,15,3,"Natural Gas",3438,1
"114",0,3,NA,6,4,"Natural Gas",2892,1
"115",2,3,1,23,3,"Natural Gas",6360,2
"116",2,4,1,21,3,"Natural Gas",5378,4
"117",1,2,1,23,3,"Electricity",1581,2
"118",2,4,1,17,2,"Electricity",2190,2
"119",1,1,1,12,3,"Electricity",967,2
"120",1,0,0,6,NA,"Electricity",1701,2
"121",1,2,0,6,5,"Electricity",1232,1
"122",2,2,1,17,1,"Natural Gas",1186,2
"123",5,2,1,23,3,"Electricity",1286,4
"124",1,3,1,23,3,"Natural Gas",815,3
"125",0,1,NA,4,3,"Electricity",940,3
"126",0,2,NA,12,4,"Electricity",804,2
"127",2,2,1,7,4,"Natural Gas",619,2
"128",1,2,0,6,5,"Natural Gas",729,1
"129",1,2,1,17,3,"Electricity",2016,6
"130",1,2,1,8,3,"Natural Gas",1710,3
"131",1,4,1,19,3,"Electricity",3667,3
"132",0,2,NA,17,4,"Natural Gas",1009,1
"133",2,2,1,8,4,"Electricity",2085,2
"134",1,2,1,23,5,"Natural Gas",827,2
"135",4,2,0,24,3,"Electricity",3597,2
"136",2,3,1,9,4,"Electricity",1697,1
"137",2,1,1,1,2,"Natural Gas",5987,2
"138",0,3,NA,22,3,"Electricity",3258,1
"139",0,2,NA,5,4,"Natural Gas",741,1
"140",1,4,0,6,5,"Electricity",910,4
"141",1,6,1,24,3,"Electricity",5503,2
"142",0,3,NA,1,3,"Natural Gas",2395,4
"143",3,2,1,6,5,"Natural Gas",890,2
"144",0,2,NA,5,5,"Electricity",544,1
"145",4,3,1,19,3,"Natural Gas",2944,4
"146",0,2,NA,8,2,"Electricity",1392,1
"147",0,3,NA,1,5,"Natural Gas",1828,1
"148",1,2,1,7,2,"Natural Gas",667,3
"149",1,1,1,13,3,"Natural Gas",2280,2
"150",2,2,1,19,4,"Natural Gas",1200,2
"151",1,1,0,2,2,"Electricity",840,5
"152",1,2,1,8,3,"Natural Gas",1053,3
"153",5,6,1,17,2,"Natural Gas",4998,3
"154",0,4,NA,12,5,"Natural Gas",1744,2
"155",1,2,1,10,5,"Electricity",4488,3
"156",2,3,1,17,2,"Natural Gas",2271,2
"157",1,1,1,7,2,"Natural Gas",1929,1
"158",2,3,1,24,4,"Natural Gas",3600,2
"159",1,1,1,7,4,"Natural Gas",414,1
"160",1,2,1,8,3,"Electricity",1362,3
"161",0,2,NA,9,3,"Natural Gas",875,4
"162",0,3,NA,17,5,"Natural Gas",912,3
"163",1,4,1,9,5,"Natural Gas",2081,2
"164",2,1,1,14,4,"Electricity",638,2
"165",0,3,NA,21,3,"Electricity",3356,2
"166",3,2,1,1,2,"Electricity",2552,3
"167",1,3,1,10,5,"Electricity",2471,2
"168",3,2,1,13,2,"Natural Gas",2588,3
"169",2,3,1,24,2,"Electricity",6798,3
"170",0,3,NA,4,3,"Natural Gas",1177,4
"171",1,1,1,7,3,"Electricity",1924,3
"172",3,4,1,16,3,"Natural Gas",1945,4
"173",1,3,1,14,4,"Natural Gas",2697,1
"174",2,4,1,11,4,"Electricity",2300,9
"175",0,1,NA,1,2,"Natural Gas",313,1
"176",1,3,0,6,2,"Electricity",2714,5
"177",1,4,1,5,5,"Natural Gas",1092,4
"178",1,3,1,11,4,"Electricity",1183,3
"179",0,3,NA,22,3,"Natural Gas",3384,1
"180",7,6,1,24,4,"Natural Gas",2592,9
"181",1,1,0,11,2,"Natural Gas",912,5
"182",1,2,1,4,3,"Natural Gas",2775,3
"183",1,4,1,11,4,"Wood",2048,2
"184",0,0,NA,5,NA,"Electricity",1699,1
"185",4,6,1,24,3,"Electricity",5256,4
"186",1,4,1,9,2,"Natural Gas",2131,1
"187",0,2,NA,19,2,"Natural Gas",1632,3
"188",3,1,1,24,2,"Natural Gas",1966,3
"189",2,4,1,18,3,"Electricity",2808,4
"190",0,1,NA,6,3,"Electricity",735,1
"191",0,1,NA,8,1,"Natural Gas",5850,2
"192",0,1,NA,12,3,"Electricity",400,2
"193",1,2,1,8,4,"Natural Gas",2442,5
"194",2,5,1,18,2,"Electricity",2700,4
"195",3,2,1,19,3,"Natural Gas",1335,3
"196",1,4,1,7,2,"Natural Gas",1560,4
"197",1,1,1,5,3,"Natural Gas",344,1
"198",4,5,1,15,2,"Fuel Oil",2541,2
"199",1,1,1,6,1,"Natural Gas",1176,1
"200",0,1,NA,7,5,"Natural Gas",1424,1
"201",3,4,1,21,4,"Natural Gas",7200,2
"202",1,1,1,11,1,"Natural Gas",4182,2
"203",1,1,1,20,3,"Electricity",834,2
"204",1,0,1,17,NA,"Natural Gas",960,1
"205",1,2,1,10,2,"Electricity",1167,1
"206",0,2,NA,7,5,"Solar",4045,2
"207",3,2,1,13,1,"Natural Gas",2118,2
"208",2,2,1,13,3,"Electricity",3132,2
"209",1,3,1,7,4,"Natural Gas",3474,2
"210",1,1,1,21,2,"Fuel Oil",596,1
"211",3,5,1,19,4,"Natural Gas",3521,3
"212",0,3,NA,8,3,"Natural Gas",1680,12
"213",6,4,1,7,3,"Electricity",2496,2
"214",1,6,1,20,3,"Natural Gas",3480,3
"215",2,2,1,24,3,"Natural Gas",1566,2
"216",6,3,1,16,3,"Natural Gas",2636,8
"217",1,4,1,8,5,"Electricity",1500,1
"218",1,1,1,7,2,"Natural Gas",806,3
"219",2,3,1,12,3,"Electricity",900,3
"220",0,2,NA,8,4,"Electricity",642,3
"221",4,6,1,24,3,"Natural Gas",4169,3
"222",2,3,1,21,2,"Natural Gas",3578,3
"223",3,1,1,22,3,"Natural Gas",3270,2
"224",0,3,NA,14,4,"Electricity",1150,1
"225",2,4,1,23,3,"Electricity",3280,5
"226",1,3,1,23,3,"Natural Gas",2320,4
"227",2,2,1,12,2,"Propane",658,2
"228",1,1,1,9,3,"Electricity",980,1
"229",4,2,1,18,4,"Natural Gas",1620,4
"230",2,4,1,7,5,"Natural Gas",1710,5
"231",1,2,1,7,4,"Electricity",900,3
"232",1,4,1,9,4,"Natural Gas",1944,6
"233",3,2,1,24,1,"Natural Gas",4601,4
"234",0,1,NA,7,4,"Fuel Oil",1029,1
"235",0,3,NA,7,2,"Natural Gas",1920,1
"236",2,2,1,9,3,"Electricity",1856,2
"237",1,3,1,23,3,"Electricity",2220,3
"238",3,5,1,24,3,"Fuel Oil",3104,6
"239",2,2,1,23,4,"Electricity",1482,1
"240",1,6,1,8,4,"Electricity",1680,2
"241",2,4,1,23,3,"Electricity",3776,3
"242",0,3,NA,20,2,"Natural Gas",1656,1
"243",4,3,1,24,3,"Natural Gas",4352,5
"244",1,3,1,18,4,"Electricity",3179,3
"245",1,1,1,10,2,"Electricity",2484,1
"246",1,2,0,6,4,"Electricity",966,6
"247",1,2,1,12,3,"Natural Gas",983,2
"248",1,2,1,7,5,"Electricity",806,1
"249",1,5,1,13,5,"Natural Gas",2736,2
"250",2,4,0,14,3,"Natural Gas",1976,2
"251",1,3,1,17,4,"Natural Gas",2226,2
"252",0,1,NA,5,2,"Natural Gas",1896,1
"253",1,3,0,1,3,"Natural Gas",1708,2
"254",2,4,1,21,2,"Fuel Oil",3352,1
"255",1,2,1,12,5,"Natural Gas",810,4
"256",1,1,1,5,1,"Electricity",4998,1
"257",1,2,1,5,3,"Natural Gas",517,4
"258",0,1,NA,8,4,"Propane",2732,2
"259",2,2,1,13,3,"Natural Gas",861,2
"260",2,5,1,8,4,"Natural Gas",1080,2
"261",0,2,NA,7,3,"Natural Gas",358,1
"262",4,5,1,7,3,"Natural Gas",3642,10
"263",1,2,1,6,3,"Natural Gas",932,4
"264",6,3,1,24,2,"Natural Gas",2058,3
"265",0,1,NA,6,3,"Natural Gas",700,1
"266",1,1,1,15,4,"Electricity",1600,2
"267",1,3,1,7,3,"Natural Gas",2521,1
"268",1,3,0,1,5,"Fuel Oil",956,2
"269",1,3,1,5,3,"Natural Gas",894,2
"270",0,2,NA,9,3,"Electricity",672,1
"271",2,1,1,17,2,"Natural Gas",2346,1
"272",4,4,1,24,2,"Natural Gas",3870,5
"273",0,2,NA,17,5,"Electricity",720,2
"274",2,3,1,18,4,"Electricity",2267,2
"275",1,2,1,6,3,"Electricity",1318,4
"276",2,2,1,23,2,"Natural Gas",1321,2
"277",2,3,1,24,2,"Fuel Oil",3552,2
"278",2,5,1,24,4,"Natural Gas",2030,4
"279",1,4,1,7,5,"Natural Gas",840,4
"280",0,1,NA,16,3,"Natural Gas",1312,1
"281",2,2,1,11,3,"Electricity",830,2
"282",2,4,1,23,3,"Natural Gas",3912,4
"283",3,4,1,16,3,"Electricity",1728,5
